Pregunta,respuesta,Tema,Pers/empresa,Polarity,Pregunta2,jplik,renlik,IESSlik,CONTlik,OSlik,CONSlik,JSlik,p_greet,n_token
Hola una pregunta en que perjudica el acta de finiquito por una liquidación,,Renuncia/Despido/Desahucio,persona,0,Hola una pregunta en que perjudica el acta de finiquito por una liquidación,-1.6571428571428573,2.857142857142857,-2.7,-2.7,-2.7,-2.7,-2.7,0.07692307692307693,13
PARA CALCULAR EL DESAHUCIO SE DEBE TOMAR EN CUENTA EL VALOR POR HORAS EXTRAS Y LA ALIMENTACIÓN?,,Renuncia/Despido/Desahucio,persona,0,PARA CALCULAR EL DESAHUCIO SE DEBE TOMAR EN CUENTA EL VALOR POR HORAS EXTRAS Y LA ALIMENTACIÓN?,1.2820512820512822,1.439102564102564,-0.6211538461538462,-2.7,-2.7,-2.7,-2.7,0.0,17
"supuestamente Correa emitió el decreto 225 dodne aquellos que tenian 12años a la fecha del mensionado decreto, perdian la jubilacion patronal 12 años 5meses de servicio perdía la jubilacion patronal",,Jubilacion Patronal,persona,0,"supuestamente Correa emitió el decreto 225 dodne aquellos que tenian 12años a la fecha del mensionado decreto, perdian la jubilacion patronal 12 años 5meses de servicio perdía la jubilacion patronal",4.085470085470085,-2.5461538461538464,-2.494871794871795,-3.1555555555555554,-4.5,-4.5,-3.488888888888889,0.0,30
"TENGO 20 AÑOS DE APORTES  (15 EN LA MISMA EMPRESA) Y 56 AÑOS DE EDAD , QUE POSIBILIDAD TENGO DE ACOGERME A UNA JUBILACION. GRACIAS",,Jubilacion Patronal,persona,0,"TENGO 20 AÑOS DE APORTES (15 EN LA MISMA EMPRESA) Y 56 AÑOS DE EDAD , QUE POSIBILIDAD TENGO DE ACOGERME A UNA JUBILACION. GRACIAS",1.8673355629877368,-0.7361204013377927,0.83835005574136,-1.7565217391304349,-2.7,-2.7,-2.7,0.0,24
Buenos dias una consulta ingrese la jubilacion de mi papa pero en estado de la solicitud sigue en suspenso que significa,,Jubilacion Patronal,persona,0,Buenos dias una consulta ingrese la jubilacion de mi papa pero en estado de la solicitud sigue en suspenso que significa,0.8205128205128205,0.07692307692307693,0.10256410256410256,-0.9,-0.9,-0.9,-0.9,0.09523809523809523,21
"buenos dias, por favor me podria explicar que significa  etado suspenso una vez que solicite mi jubilación. gracias",,Jubilacion Patronal,persona,0,"buenos dias, por favor me podria explicar que significa etado suspenso una vez que solicite mi jubilación. gracias",0.8205128205128205,0.07692307692307693,0.10256410256410256,-0.9,-0.9,-0.9,-0.9,0.1111111111111111,18
"Una consulta soy una afiliada voluntaria viviendo en USA, cuando vivi en Ecuador aporte por mas de 20 anos, actualmente tengo 59 anos y 342 aportaciones, en diciembre del 2020 cumpliré las 360 imposiciones y en junio del 20 cumpliré 60 anos, estoy tratando de ver cuanto me tocara de jubilación y si puedo aportar mas para obtener una mejor jubilación, es algo que tu me podrías ayudar o indicarme como saco la raíz sesentava? por favor ayudame",,IESS,persona,0,"Una consulta soy una afiliada voluntaria viviendo en USA, cuando vivi en Ecuador aporte por mas de 20 anos, actualmente tengo 59 anos y 342 aportaciones, en diciembre del 2020 cumpliré las 360 imposiciones y en junio del 20 cumpliré 60 anos, estoy tratando de ver cuanto me tocara de jubilación y si puedo aportar mas para obtener una mejor jubilación, es algo que tu me podrías ayudar o indicarme como saco la raíz sesentava? por favor ayudame",-1.035897435897436,-6.146153846153847,5.948717948717949,-8.100000000000001,-8.100000000000001,-6.866666666666668,-8.100000000000001,0.0,78
"Buenas tardes, mi nombre es Luz López de GRUPOK S. A. y estoy interesada en asistir a la charla el día 18/06/2019, pero veo que ya no hay cupos? lastimosamente me demoré porque solicité la autorización de la Gerente que no me contestó pronto, no e si hay como me ayuden. Gracias.","Buenos días estimada Luz, enviaré su solicitud a su ejecutivo comercial: ventas1@actuaria.com.ec para ubicarla en lista de espera, gracias por escribirnos",Otros servicios (Charlas/Capacitaciones/Financiera),empresa,0,"Buenas tardes, mi nombre es Luz López de GRUPOK S. A. y estoy interesada en asistir a la charla el día 18/06/2019, pero veo que ya no hay cupos? lastimosamente me demoré porque solicité la autorización de la Gerente que no me contestó pronto, no e si hay como me ayuden. Gracias.",-2.7,-2.7,-2.7,-1.4666666666666668,2.3333333333333335,-2.7,-2.7,0.037037037037037035,54
"una consulta, quiero renunciar directo en el,misniterio, a que no mas tengo derechos tengo como 60 dias de vacaciones acumuladas",,Renuncia/Despido/Desahucio,persona,0,"una consulta, quiero renunciar directo en el,misniterio, a que no mas tengo derechos tengo como 60 dias de vacaciones acumuladas",0.2,0.8,-0.9,-0.9,-0.9,-0.9,-0.9,0.047619047619047616,21
"Buenos dìas, necesito servicios de provisiòn de jubilaciòn del personal","Buenos días, me ayuda con los siguientes datos por favor: ruc, nombre empresa, contacto, cargo, correo y teléfonos",Jubilacion Patronal,empresa,0,"Buenos dìas, necesito servicios de provisiòn de jubilaciòn del personal",2.3205128205128203,-0.6564102564102564,-1.6974358974358976,-2.7,-2.7,-2.7,-1.4666666666666668,0.2,10
